municipality,avg(number_of_vacancies),num_vacancies_per_municipality
Kinda,2.2083333333333335,24
Åstorp,2.125,24
Sunne,1.0416666666666667,24
Mullsjö,1.2916666666666667,24
Älvdalen,1.375,24
Åmål,1.125,24
Nora,1.3043478260869565,23
Tibro,2.0,23
Uppvidinge,1.9565217391304348,23
Salem,1.434782608695652,23
Strömsund,1.2608695652173914,23
Hultsfred,1.8636363636363635,23
Lilla Edet,1.9090909090909092,22
Tomelilla,1.380952380952381,21
Åtvidaberg,1.5238095238095237,21
Aneby,1.619047619047619,21
Vadstena,1.0476190476190477,21
Vaxholm,1.2380952380952381,21
Boxholm,1.1428571428571428,21
Jokkmokk,4.05,20
Bjuv,1.6,20
Älvkarleby,1.25,20
Mörbylånga,1.45,20
Eda,1.263157894736842,20
Emmaboda,1.9,20
Rättvik,1.2105263157894737,19
Hofors,1.0,19
Hylte,1.0526315789473684,19
Svenljunga,2.5789473684210527,19
Ödeshög,2.0,19
Berg,1.894736842105263,19
Gnesta,1.0555555555555556,18
Älvsbyn,1.1111111111111112,18
Herrljunga,1.2222222222222223,18
Perstorp,1.6666666666666667,18
Vilhelmina,1.1111111111111112,18
Nordanstig,1.3333333333333333,18
Ovanåker,1.3333333333333333,18
Bengtsfors,2.9444444444444446,18
Hjo,1.4705882352941178,17
Lessebo,2.0588235294117645,17
Vindeln,2.3529411764705883,17
Laxå,1.8823529411764706,17
Vansbro,1.9411764705882353,17
Svalöv,1.8235294117647058,17
Mönsterås,1.9375,17
Säter,1.4375,16
Grums,1.8125,16
Öckerö,1.875,16
Bräcke,1.9375,16
Hammarö,1.75,16
Kil,2.125,16
Munkedal,2.875,16
Filipstad,1.1875,16
Töreboda,1.6666666666666667,15
Pajala,1.5333333333333334,15
Vännäs,3.6,15
Bollebygd,1.4285714285714286,14
Hällefors,1.0,14
Degerfors,2.0,14
Orsa,5.5,14
Ragunda,1.8461538461538463,13
Kungsör,3.5384615384615383,13
Grästorp,1.4615384615384615,13
Malå,1.2307692307692308,13
Robertsfors,1.3076923076923077,13
Forshaga,3.6666666666666665,12
Överkalix,1.25,12
Mellerud,1.3636363636363635,11
Gullspång,2.1818181818181817,11
Surahammar,1.0909090909090908,11
Färgelanda,1.0,11
Ljusnarsberg,1.7272727272727273,11
Vingåker,1.4,10
Skinnskatteberg,1.4,10
Lekeberg,2.2,10
Gagnef,2.1,10
Övertorneå,1.0,9
Borgholm,1.0,9
Essunga,2.0,9
Högsby,1.375,8
Norsjö,1.375,8
Norberg,1.2857142857142858,7
Dals-Ed,1.2857142857142858,7
Dorotea,2.2857142857142856,7
Ockelbo,1.2857142857142858,7
Nordmaling,3.7142857142857144,7
Storfors,2.8333333333333335,6
Munkfors,1.1666666666666667,6
Torsås,1.0,6
Sorsele,2.5,4
Valdemarsvik,2.3333333333333335,3
Ydre,1.0,2
Åsele,1.0,2
Bjurholm,2.0,1
